,PRNAME,PCNAME,year,area_type,conn_type,avg_d_kbps,avg_u_kbps,avg_lat_ms
1142,Ontario,Englehart,2022,Rural,fixed,33554.325,5658.3,60.9125
1143,Ontario,Englehart,2022,Rural,mobile,26165.999999999996,1845.5416666666665,215.41666666666666
1147,Ontario,Espanola,2022,Rural,mobile,30205.791666666668,5785.447916666667,37.864583333333336
1149,Ontario,Essex,2022,Rural,mobile,83949.99324324324,7257.268018018019,41.18018018018017
1155,Ontario,Exeter,2022,Rural,mobile,88189.54629629629,5089.296296296296,33.601851851851855
1157,Ontario,Factory Island,2022,Rural,mobile,339.0,1367.5,230.0
1160,Ontario,Fenelon Falls,2022,Urban,fixed,31985.793560606064,9066.19696969697,21.384469696969695
1167,Ontario,Forest,2022,Rural,mobile,29877.714285714286,2511.1309523809527,32.214285714285715
1177,Ontario,Gananoque,2022,Rural,mobile,71231.33307656395,9681.588001867414,79.16444911297853
1185,Ontario,Glencoe,2022,Rural,mobile,56192.060119047615,3142.382738095238,43.10476190476191
1187,Ontario,Goderich,2022,Rural,mobile,61386.017441860466,6273.018992248061,32.01472868217054
1189,Ontario,Golden,2022,Rural,mobile,37.0,2269.0,58.0
1205,Ontario,Haileybury,2022,Rural,mobile,111475.11111111111,9541.611111111111,59.44444444444444
1213,Ontario,Harriston,2022,Rural,mobile,17440.14285714286,4846.714285714285,28.642857142857142
1215,Ontario,Harrow,2022,Rural,mobile,63472.30555555556,4007.5277777777774,42.986111111111114
1218,Ontario,Hearst,2022,Rural,fixed,27236.80992063492,13419.61607142857,11.601934523809524
1227,Ontario,Ingleside,2022,Rural,mobile,34049.666666666664,4679.25,33.166666666666664
1231,Ontario,Innisfil,2022,Urban,mobile,64829.01298701299,8353.039069264069,29.295725108225106
1233,Ontario,Iroquois,2022,Rural,mobile,17374.55555555556,3462.8333333333335,45.333333333333336
1234,Ontario,Iroquois Falls,2022,Rural,fixed,42731.525,11284.992261904761,45.09880952380952
1237,Ontario,Jarvis,2022,Rural,mobile,19546.333333333332,2954.3333333333335,35.666666666666664
1242,Ontario,Kapuskasing,2022,Rural,fixed,166255.7529348545,9847.998826058201,25.3380291005291
1249,Ontario,Keswick - Elmhurst Beach,2022,Rural,mobile,63609.407865168534,7778.303745318352,35.828089887640445
1251,Ontario,Keswick - Elmhurst Beach,2022,Urban,mobile,51932.534375,5789.33125,44.553125
1253,Ontario,Kincardine,2022,Rural,mobile,54645.65424710425,9830.873552123552,43.311389961389956
1268,Ontario,L'Orignal,2022,Rural,fixed,24012.177083333336,5256.870833333333,27.252777777777776
1269,Ontario,L'Orignal,2022,Rural,mobile,32439.416666666664,2907.625,54.5
1271,Ontario,Lakefield,2022,Rural,mobile,23776.197916666664,1707.1875,65.28125
1277,Ontario,Lindsay,2022,Rural,mobile,68961.85137961726,9229.485580774366,39.94672897196262
1281,Ontario,Listowel,2022,Rural,mobile,44015.639814814815,8278.639351851853,50.72638888888889
1283,Ontario,Listowel,2022,Urban,mobile,32543.420833333334,4796.816666666667,37.333333333333336
1284,Ontario,Little Current,2022,Rural,fixed,24560.24087301587,3564.4563492063494,38.236111111111114
1285,Ontario,Little Current,2022,Rural,mobile,41012.80952380952,6278.666666666667,45.97619047619048
1287,Ontario,Lively,2022,Rural,mobile,96800.0625,9455.25,25.1875
1294,Ontario,Longlac,2022,Rural,fixed,38063.885416666664,6537.690476190476,43.57589285714286
1295,Ontario,Longlac,2022,Rural,mobile,42832.79166666667,19382.625,47.833333333333336
1297,Ontario,Lucan,2022,Rural,mobile,64211.916666666664,6149.833333333333,28.5
1298,Ontario,Madoc,2022,Rural,fixed,23671.050347222223,7702.960069444445,41.36458333333333
1299,Ontario,Madoc,2022,Rural,mobile,29479.95,10840.3375,55.5875
1301,Ontario,Manitouwadge,2022,Rural,mobile,22904.2,16297.05,65.3
1303,Ontario,Manotick Station,2022,Rural,mobile,82421.125,5955.625,30.375
1305,Ontario,Manotick Station,2022,Urban,mobile,37316.22916666667,2883.75,32.354166666666664
1307,Ontario,Marathon,2022,Rural,mobile,29666.208333333332,14078.5625,50.177083333333336
1309,Ontario,Marathon,2022,Urban,mobile,33737.14583333333,13958.041666666666,54.64583333333333
1311,Ontario,Marchmont - Bass Lake,2022,Rural,mobile,46764.8125,4224.25,30.9375
1313,Ontario,Markdale,2022,Rural,mobile,17088.1,2242.1,74.0
1314,Ontario,Marmora,2022,Rural,fixed,96642.58035714286,8994.339285714286,16.698214285714286
1316,Ontario,Mattawa,2022,Rural,fixed,38935.689980158735,4889.042559523809,49.75404942279942
1317,Ontario,Mattawa,2022,Rural,mobile,35705.30925925926,11345.285185185185,46.16851851851852
1318,Ontario,McGregor,2022,Rural,fixed,24259.5,3348.1666666666665,17.666666666666664
1321,Ontario,Meaford,2022,Rural,mobile,100583.04385964913,3036.7105263157896,34.45614035087719
1327,Ontario,Midland,2022,Urban,mobile,61304.854166666664,5925.0625,37.6875
1328,Ontario,Mildmay,2022,Rural,fixed,131639.64880952382,7747.636904761905,28.36904761904762
1329,Ontario,Mildmay,2022,Rural,mobile,50022.666666666664,5406.333333333333,26.0
1336,Ontario,Milverton,2022,Rural,fixed,111707.5,8594.5,14.75
1343,Ontario,Mitchell,2022,Rural,mobile,29239.201388888887,2027.951388888889,37.40277777777778
1349,Ontario,Mount Albert,2022,Rural,mobile,33502.357142857145,3872.714285714286,111.28571428571429
1353,Ontario,Mount Brydges,2022,Rural,mobile,67192.67708333333,7012.302083333334,26.979166666666668
1355,Ontario,Mount Forest,2022,Rural,mobile,31145.511904761905,5205.964285714285,41.392857142857146
1357,Ontario,Napanee,2022,Rural,mobile,51125.55904663518,8754.861978551751,44.91258362849272
1359,Ontario,New Hamburg,2022,Rural,mobile,79231.32413793103,5619.584482758621,32.11781609195402
1361,Ontario,New Hamburg,2022,Urban,mobile,68171.33333333333,5617.375,31.895833333333332
1365,Ontario,Newcastle,2022,Rural,mobile,111299.825,8691.852380952381,42.04880952380953
1367,Ontario,Nobleton,2022,Rural,mobile,47281.58333333333,11349.75,42.625
1369,Ontario,Nobleton,2022,Urban,mobile,56009.65,5503.533333333333,32.36666666666667
1373,Ontario,North Bay,2022,Urban,mobile,68418.21428571429,9721.202380952382,31.035714285714285
1375,Ontario,Norwich,2022,Rural,mobile,25614.55555555556,828.3333333333334,38.0
1376,Ontario,Norwood,2022,Rural,fixed,119427.83333333333,9518.72222222222,30.611111111111114
1377,Ontario,Norwood,2022,Rural,mobile,23623.125,14930.0,30.125
1378,Ontario,Omemee,2022,Rural,fixed,133067.65476190476,6971.351190476191,18.922619047619044
1391,Ontario,Orono,2022,Rural,mobile,37547.0,3187.0,22.5
1393,Ontario,Osgoode,2022,Rural,mobile,99999.75,9789.138888888889,33.875
1405,Ontario,Paisley,2022,Rural,mobile,46273.5,6931.5,26.666666666666668
1407,Ontario,Palmerston,2022,Rural,mobile,33043.370370370365,3282.8518518518517,41.111111111111114
1413,Ontario,Parkhill,2022,Rural,mobile,22339.25,1379.5,36.25
1421,Ontario,Petawawa,2022,Rural,mobile,62567.01990740741,8893.569907407407,49.80694444444444
1423,Ontario,Petawawa,2022,Urban,mobile,35799.44444444444,5688.777777777778,44.22222222222222
1429,Ontario,Petrolia,2022,Rural,mobile,72314.22727272728,4905.242424242425,32.78787878787879
1431,Ontario,Petrolia,2022,Urban,mobile,45269.0,4210.75,27.75
1435,Ontario,Picton,2022,Urban,mobile,73030.928125,9054.118402777778,30.437847222222224
1437,Ontario,Plattsville,2022,Rural,mobile,186101.0,6004.0,24.5
1439,Ontario,Porcupine,2022,Rural,mobile,85254.0,9028.253846153846,63.965384615384615
1449,Ontario,Port Elgin,2022,Urban,mobile,48453.34375,8150.114583333334,57.208333333333336
1457,Ontario,Port Perry,2022,Urban,mobile,73002.62857142858,8971.157142857142,32.25714285714286
1459,Ontario,Port Rowan,2022,Rural,mobile,40828.875,6105.375,42.54166666666667
1461,Ontario,Port Stanley,2022,Rural,mobile,42768.71041666667,2771.1395833333336,39.077083333333334
1465,Ontario,Prescott,2022,Rural,mobile,58748.95128205128,8665.665384615384,45.2724358974359
1467,Ontario,Red Lake,2022,Rural,mobile,34903.25,14438.75,46.125
1469,Ontario,Renfrew,2022,Rural,mobile,49064.342147922995,7053.024721377913,38.85572441742654
1471,Ontario,Richmond,2022,Rural,mobile,32353.21153846154,4333.23717948718,73.0448717948718
1473,Ontario,Ridgetown,2022,Rural,mobile,67892.04166666667,6855.898484848484,42.91136363636363
1475,Ontario,Rockland,2022,Rural,mobile,74520.0880952381,7396.995238095238,44.46380952380952
1477,Ontario,Rockland,2022,Urban,mobile,48076.744047619046,7395.160714285715,45.57440476190476
1481,Ontario,Russell,2022,Rural,mobile,64346.577380952374,7087.744047619048,40.767857142857146
1483,Ontario,Russell,2022,Urban,mobile,38298.5875,3227.7791666666667,43.86666666666666
1493,Ontario,Schomberg,2022,Rural,mobile,80695.64285714286,8825.642857142857,25.928571428571427
1499,Ontario,Simcoe,2022,Rural,mobile,62950.57046413502,9092.159915611814,26.25675105485232
1507,Ontario,Southampton,2022,Rural,mobile,59216.328125,7684.057291666667,32.28125
1513,Ontario,St. George,2022,Rural,mobile,12176.791666666668,2780.625,63.14583333333333
1515,Ontario,St. Jacobs,2022,Rural,mobile,16139.166666666666,3877.0833333333335,30.0
1517,Ontario,St. Jacobs,2022,Urban,mobile,24902.3,3805.366666666667,29.599999999999998
1519,Ontario,St. Marys,2022,Rural,mobile,33921.20885416667,11961.697916666666,38.15
1527,Ontario,Stayner,2022,Rural,mobile,60863.180555555555,5423.006944444444,31.972222222222218
1529,Ontario,Stevensville,2022,Rural,mobile,13112.666666666666,5262.333333333333,35.5
1530,Ontario,Stirling,2022,Rural,fixed,34644.09751984127,12492.74093915344,36.65595238095238
1539,Ontario,Stratford,2022,Urban,mobile,41402.53333333333,4199.4375,33.83541666666667
1543,Ontario,Sturgeon Falls,2022,Rural,mobile,41536.986666666664,8122.84,39.00666666666667
1549,Ontario,Sutton,2022,Rural,mobile,24629.594753086418,5295.735427689595,36.5271164021164
1551,Ontario,Sutton,2022,Urban,mobile,19759.149999999998,4780.616666666667,35.18095238095238
1555,Ontario,Tay,2022,Rural,mobile,61141.93465608466,6814.506613756614,32.13015873015873
1557,Ontario,Tay,2022,Urban,mobile,24195.125,2794.2916666666665,31.25
1559,Ontario,Thamesford,2022,Rural,mobile,40769.333333333336,2968.2222222222226,31.11111111111111
1560,Ontario,Thessalon,2022,Rural,fixed,190241.3125,8833.458333333334,23.604166666666668
1563,Ontario,Thornbury,2022,Rural,mobile,91625.51999999999,8776.636428571428,31.38380952380952
1573,Ontario,Tillsonburg,2022,Urban,mobile,61151.43695652174,5938.188405797102,32.7768115942029
1577,Ontario,Timmins,2022,Urban,mobile,44317.958333333336,10089.208333333332,48.333333333333336
1583,Ontario,Tottenham,2022,Rural,mobile,54401.12698412699,9572.698412698413,35.43650793650794
1585,Ontario,Tottenham,2022,Urban,mobile,57747.4625,8557.396428571428,33.107142857142854
1587,Ontario,Uxbridge,2022,Rural,mobile,52112.73172043011,9254.639784946236,27.548387096774192
1591,Ontario,Valley East,2022,Rural,mobile,74161.30666666667,5717.758333333334,30.921666666666667
1595,Ontario,Vankleek Hill,2022,Rural,mobile,49875.65,5305.35,36.2
1597,Ontario,Vineland,2022,Rural,mobile,94241.8148148148,6909.314814814815,136.85185185185185
1605,Ontario,Walkerton,2022,Rural,mobile,125448.91666666667,9949.064814814814,32.23148148148148
1613,Ontario,Waterford,2022,Rural,mobile,111344.33333333333,5117.981481481481,40.0
1615,Ontario,Watford,2022,Rural,mobile,44026.75,4924.5,23.25
1617,Ontario,Wawa,2022,Rural,mobile,25133.60714285714,3624.440476190476,59.73809523809524
1621,Ontario,Welland - Pelham,2022,Urban,mobile,67956.28333333333,7271.5114583333325,29.188541666666666
1623,Ontario,Wellesley,2022,Rural,mobile,29773.666666666668,10788.0,27.0
1627,Ontario,West Lorne,2022,Rural,mobile,16927.5,1466.0,28.5
1629,Ontario,Wheatley,2022,Rural,mobile,78627.7807017544,5667.236842105263,45.421052631578945
1630,Ontario,Wikwemikong,2022,Rural,fixed,20397.125,5908.3125,34.625
1631,Ontario,Wikwemikong,2022,Rural,mobile,38299.0,3743.6666666666665,53.0
1633,Ontario,Winchester,2022,Rural,mobile,39380.313888888886,8480.0375,38.0625
1645,Ontario,Wyoming,2022,Rural,mobile,54310.4,6662.8,29.2
1651,Prince Edward Island / Île-du-Prince-Édouard,Cornwall,2022,Rural,mobile,7614.273809523809,2771.035714285714,51.19047619047619
1653,Prince Edward Island / Île-du-Prince-Édouard,Kensington,2022,Rural,mobile,51552.42857142857,7405.285714285715,67.28571428571429
1655,Prince Edward Island / Île-du-Prince-Édouard,Montague,2022,Rural,mobile,57647.36111111112,2559.027777777778,40.361111111111114
1659,Prince Edward Island / Île-du-Prince-Édouard,Summerside,2022,Urban,mobile,41070.5,8468.444444444443,58.166666666666664
1688,Quebec / Québec,Bedford,2022,Rural,fixed,40263.181190476185,12425.957738095238,16.226666666666667
1693,Quebec / Québec,Beloeil,2022,Urban,mobile,70796.77316017316,9272.075685425685,43.72886002886003
1695,Quebec / Québec,Berthierville,2022,Rural,mobile,56599.96732804233,7154.536111111111,28.786507936507935
1697,Quebec / Québec,Betsiamites,2022,Rural,mobile,2639.3,2028.5,35.8
1703,Quebec / Québec,Bromont,2022,Rural,mobile,18736.0,5265.5,29.75
1713,Quebec / Québec,Cabano,2022,Rural,mobile,81184.35714285714,6300.857142857143,31.785714285714285
1715,Quebec / Québec,Campbellton,2022,Rural,mobile,44601.604166666664,2522.7708333333335,56.25
1719,Quebec / Québec,Cap-Saint-Ignace,2022,Rural,mobile,20468.5,12040.0,42.0
1720,Quebec / Québec,Cap-aux-Meules,2022,Rural,fixed,38863.521446608946,9945.187866762868,40.84429713804714
1725,Quebec / Québec,Chandler,2022,Rural,mobile,60746.333333333336,7547.916666666667,38.52777777777778
1741,Quebec / Québec,Clermont,2022,Rural,mobile,36055.4375,5158.5625,38.875
1745,Quebec / Québec,Contrecoeur,2022,Rural,mobile,84019.27777777778,8879.238888888889,22.616666666666667
1751,Quebec / Québec,Cowansville,2022,Urban,mobile,59489.770833333336,9874.666666666666,36.15625
1754,Quebec / Québec,Danville,2022,Rural,fixed,59651.92956349206,8854.897652116402,15.364153439153439
1755,Quebec / Québec,Danville,2022,Rural,mobile,54160.0,6920.666666666667,21.666666666666668
1763,Quebec / Québec,Domaine-C.-L.-C.,2022,Rural,mobile,75432.59722222222,8418.708333333334,33.388888888888886
1767,Quebec / Québec,Donnacona,2022,Urban,mobile,106520.38194444444,9506.33611111111,26.322222222222223
1773,Quebec / Québec,Dégelis,2022,Rural,mobile,27785.5,9916.833333333334,26.5
1777,Quebec / Québec,East Broughton,2022,Rural,mobile,6215.0,2224.0,30.0
1783,Quebec / Québec,Fermont,2022,Rural,mobile,36654.21428571428,9461.690476190475,49.785714285714285
1785,Quebec / Québec,Filion,2022,Rural,mobile,18136.75,2132.75,20.5
1790,Quebec / Québec,Fort-Coulonge,2022,Rural,fixed,44692.093154761904,19043.25109126984,35.96001984126984
1799,Quebec / Québec,Godefroy,2022,Rural,mobile,106706.25,6896.5,21.25
1805,Quebec / Québec,Grande-Rivière,2022,Rural,mobile,1289.0,1832.0,200.0
1809,Quebec / Québec,Hauterive,2022,Urban,mobile,70205.46666666667,8989.075,84.33333333333333
1813,Quebec / Québec,Hawkesbury,2022,Rural,mobile,23031.083333333336,3437.583333333333,31.833333333333332
1815,Quebec / Québec,Hawkesbury,2022,Urban,mobile,26067.729166666668,2608.6041666666665,35.166666666666664
1817,Quebec / Québec,Hudson,2022,Rural,mobile,58234.57,9955.649814814815,31.921481481481482
1819,Quebec / Québec,Hudson,2022,Urban,mobile,63127.158994708996,9320.594973544974,36.63306878306878
1821,Quebec / Québec,Huntingdon,2022,Rural,mobile,55907.67361111112,5222.451388888889,30.256944444444443
1823,Quebec / Québec,Hébertville,2022,Rural,mobile,31743.5,1454.75,40.25
1831,Quebec / Québec,Kuujjuaq,2022,Rural,mobile,2930.5,404.0,627.25
1837,Quebec / Québec,L'Épiphanie,2022,Rural,mobile,75327.98550724638,6701.673913043478,27.833333333333332
1839,Quebec / Québec,L'Épiphanie,2022,Urban,mobile,66528.66666666667,6013.208333333334,30.166666666666668
1851,Quebec / Québec,Lac-Alouette,2022,Rural,mobile,60876.0,8931.333333333334,28.619047619047617
1855,Quebec / Québec,Lac-Connelly,2022,Rural,mobile,62408.5,4085.5,35.666666666666664
1857,Quebec / Québec,Lac-Etchemin,2022,Rural,mobile,71324.33333333333,8165.0,70.0
1859,Quebec / Québec,Lac-Lapierre,2022,Rural,mobile,17581.590909090908,1834.090909090909,33.13636363636363
1863,Quebec / Québec,Lac-Mégantic,2022,Urban,mobile,39830.27976190476,4358.196428571428,40.279761904761905
1865,Quebec / Québec,Lac-Simon,2022,Rural,mobile,18601.0,311.0,36.0
1881,Quebec / Québec,Le Bic,2022,Rural,mobile,106196.5,1248.5,29.0
1883,Quebec / Québec,LeBlanc,2022,Rural,mobile,82590.9375,7375.325,31.4
1891,Quebec / Québec,Les Cèdres,2022,Rural,mobile,13561.166666666666,1495.5833333333333,24.916666666666668
1893,Quebec / Québec,Les Escoumins,2022,Rural,mobile,10709.25,7797.0,34.25
1897,Quebec / Québec,Louiseville,2022,Rural,mobile,44294.90476190476,5090.821428571428,34.94047619047619
1899,Quebec / Québec,Luceville,2022,Rural,mobile,28140.0,4812.0,48.0
1901,Quebec / Québec,Magog,2022,Rural,mobile,59360.84761904762,9522.123626373626,38.97051282051282
1903,Quebec / Québec,Magog,2022,Urban,mobile,44698.48055555556,8008.594444444445,42.44722222222222
1917,Quebec / Québec,Maskinongé,2022,Rural,mobile,28053.0,3365.7777777777774,26.222222222222225
1938,Quebec / Québec,Napierville,2022,Rural,fixed,37130.75528649591,13872.501017616642,21.529462782587782
1939,Quebec / Québec,Napierville,2022,Rural,mobile,22694.514492753624,4617.003623188406,22.63768115942029
1941,Quebec / Québec,Neuville,2022,Rural,mobile,44918.5,6273.416666666666,34.5
1945,Quebec / Québec,Nicolet,2022,Rural,mobile,72741.78703703704,9117.138888888889,26.48148148148148
1948,Quebec / Québec,Normandin,2022,Rural,fixed,72884.02397486773,9834.000099206349,26.710185185185185
1951,Quebec / Québec,Notre-Dame-du-Bon-Conseil,2022,Rural,mobile,16619.75,2196.0,35.1875
1952,Quebec / Québec,Notre-Dame-du-Lac,2022,Rural,fixed,39807.33928571428,18835.931547619046,20.907738095238095
1953,Quebec / Québec,Notre-Dame-du-Lac,2022,Rural,mobile,24595.5,6570.25,71.5
1955,Quebec / Québec,Notre-Dame-du-Mont-Carmel,2022,Rural,mobile,11661.0,570.0,39.0
1957,Quebec / Québec,Oka,2022,Rural,mobile,75928.16666666667,9336.166666666666,24.666666666666668
1958,Quebec / Québec,Ormstown,2022,Rural,fixed,42633.41071428571,27308.430357142857,18.19642857142857
1965,Quebec / Québec,Papineauville,2022,Rural,mobile,3057.0,589.0,32.5
1967,Quebec / Québec,Pierreville,2022,Rural,mobile,132600.5,7260.65,27.8
1969,Quebec / Québec,Plessisville,2022,Rural,mobile,75643.06531531531,7606.600450450451,38.83828828828829
1971,Quebec / Québec,Pointe-du-Lac,2022,Rural,mobile,65205.6,6232.85,29.65
1973,Quebec / Québec,Pointe-du-Lac,2022,Urban,mobile,55818.208333333336,6794.645833333333,25.729166666666668
1981,Quebec / Québec,Port-Cartier,2022,Rural,mobile,75565.00925925927,9827.888888888889,43.47222222222222
1995,Quebec / Québec,Rawdon,2022,Urban,mobile,52497.604166666664,6227.489583333333,27.697916666666668
1997,Quebec / Québec,Richmond,2022,Rural,mobile,42769.895833333336,6511.208333333333,29.848958333333332
2015,Quebec / Québec,Rouyn-Noranda,2022,Urban,mobile,94258.5,7597.75,37.0
2019,Quebec / Québec,Roxton Pond,2022,Rural,mobile,49068.416666666664,7153.416666666667,26.666666666666668
2021,Quebec / Québec,Saint Grégoire,2022,Rural,mobile,35725.166666666664,10546.416666666666,41.583333333333336
2025,Quebec / Québec,Saint-Alexandre,2022,Rural,mobile,34163.625,5441.25,41.0
2027,Quebec / Québec,Saint-Alexis-des-Monts,2022,Rural,mobile,113828.625,9188.25,55.0
2033,Quebec / Québec,Saint-Ambroise,2022,Rural,mobile,34952.0,2868.0,36.0
2035,Quebec / Québec,Saint-Ambroise-de-Kildare,2022,Rural,mobile,32378.75,4942.35,24.1
2039,Quebec / Québec,Saint-Anselme,2022,Rural,mobile,29991.6,4547.666666666666,30.866666666666667
2049,Quebec / Québec,Saint-Basile-Sud,2022,Rural,mobile,78349.0,6633.0,21.5
2051,Quebec / Québec,Saint-Boniface,2022,Rural,mobile,52941.0,5774.333333333333,35.333333333333336
2053,Quebec / Québec,Saint-Bruno,2022,Rural,mobile,20139.84375,6476.28125,37.75
2060,Quebec / Québec,Saint-Chrysostome,2022,Rural,fixed,40635.29761904762,13979.80357142857,14.922619047619047
2065,Quebec / Québec,Saint-Césaire,2022,Rural,mobile,48867.183333333334,3935.9666666666662,38.55
2067,Quebec / Québec,Saint-Damase,2022,Rural,mobile,2555.0,182.0,31.0
2069,Quebec / Québec,Saint-Damien-de-Buckland,2022,Rural,mobile,28666.0,4893.0,29.5
2073,Quebec / Québec,Saint-Fabien,2022,Rural,mobile,53863.375,4061.625,32.25
2080,Quebec / Québec,Saint-Gabriel,2022,Rural,fixed,33373.37338789683,11943.83916170635,20.972594246031747
2081,Quebec / Québec,Saint-Gabriel,2022,Rural,mobile,37477.59444444444,6371.294444444445,36.15555555555556
2087,Quebec / Québec,Saint-Germain-de-Grantham,2022,Rural,mobile,92640.625,8358.833333333334,22.666666666666668
2089,Quebec / Québec,Saint-Gédéon,2022,Rural,mobile,24423.5,9624.5,57.0
2095,Quebec / Québec,Saint-Jacques,2022,Rural,mobile,65080.0,7186.0,28.5
2099,Quebec / Québec,Saint-Jean-Port-Joli,2022,Rural,mobile,57423.0,2900.0,31.0
2106,Quebec / Québec,Saint-Joseph-de-Lanoraie,2022,Rural,fixed,49195.37222222222,23679.084722222222,18.741203703703704
2107,Quebec / Québec,Saint-Joseph-de-Lanoraie,2022,Rural,mobile,38969.15,5691.2,40.55
2109,Quebec / Québec,Saint-Jovite,2022,Rural,mobile,82291.99135487528,9164.246371882085,45.773752834467125
2117,Quebec / Québec,Saint-Liboire,2022,Rural,mobile,9244.642857142857,936.5714285714286,27.428571428571427
2121,Quebec / Québec,Saint-Marc-des-Carrières,2022,Rural,mobile,11050.074074074073,2477.1666666666665,35.05555555555556
2123,Quebec / Québec,Saint-Martin,2022,Rural,mobile,70960.66666666667,9272.0,25.333333333333332
2125,Quebec / Québec,Saint-Michel,2022,Urban,mobile,17705.625,2453.75,22.625
2126,Quebec / Québec,Saint-Michel-des-Saints,2022,Rural,fixed,59247.332142857136,9654.492857142857,86.12678571428572
2129,Quebec / Québec,Saint-Pascal,2022,Rural,mobile,48123.76666666667,7064.266666666667,33.5
2137,Quebec / Québec,Saint-Roch-de-l'Achigan,2022,Rural,mobile,111465.3125,8807.25,23.375
2147,Quebec / Québec,Saint-Thomas,2022,Rural,mobile,12182.0,5260.0,30.0
2165,Quebec / Québec,Sainte-Catherine-de-la-Jacques-Cartier,2022,Rural,mobile,149194.1666666667,9415.0,23.291666666666668
2179,Quebec / Québec,Sainte-Martine,2022,Rural,mobile,26657.333333333332,2249.3333333333335,42.666666666666664
2181,Quebec / Québec,Sainte-Martine,2022,Urban,mobile,29105.5,3272.625,30.791666666666664
2183,Quebec / Québec,Sainte-Thècle,2022,Rural,mobile,32377.111111111113,8047.222222222222,55.44444444444446
2189,Quebec / Québec,Senneterre,2022,Rural,mobile,10321.754545454545,4533.599999999999,33.663636363636364
2193,Quebec / Québec,Shannon,2022,Rural,mobile,24019.5,8040.685185185184,47.77777777777778
2196,Quebec / Québec,Shawville,2022,Rural,fixed,23462.927331349205,9460.862847222223,24.921626984126984
2197,Quebec / Québec,Shawville,2022,Rural,mobile,34995.385416666664,4054.3125,35.989583333333336
2207,Quebec / Québec,Stanstead,2022,Rural,mobile,51566.625,5344.75,31.75
2209,Quebec / Québec,Stoneham,2022,Rural,mobile,57151.0625,4091.5625,24.4375
2213,Quebec / Québec,Terrasse-des-Pins,2022,Urban,mobile,28289.0625,5833.09375,97.27083333333334
2217,Quebec / Québec,Thetford Mines,2022,Urban,mobile,49698.175,10346.191666666668,62.1125
2219,Quebec / Québec,Thurso,2022,Rural,mobile,10956.5,1397.5,45.5
2221,Quebec / Québec,Trois-Pistoles,2022,Rural,mobile,53050.1011904762,8524.541666666668,31.970238095238095
2229,Quebec / Québec,Val-Maher,2022,Rural,mobile,16968.0,2640.0,23.333333333333332
2233,Quebec / Québec,Val-d'Or,2022,Urban,mobile,6168.5,1531.5,31.5
2239,Quebec / Québec,Varennes,2022,Rural,mobile,63715.59966996699,8368.838448844885,27.105775577557758
2241,Quebec / Québec,Varennes,2022,Urban,mobile,34994.333333333336,5033.11111111111,32.55555555555556
2253,Quebec / Québec,Warwick,2022,Rural,mobile,77162.09375,8781.34375,32.90625
2255,Quebec / Québec,Waskaganish,2022,Rural,mobile,55537.5,8320.5,52.0
2257,Quebec / Québec,Waterloo,2022,Rural,mobile,32614.847222222223,7070.310185185185,33.81018518518519
2261,Quebec / Québec,Windsor,2022,Rural,mobile,80935.66666666666,5522.691666666667,34.90833333333333
2263,Quebec / Québec,Yamachiche,2022,Rural,mobile,49950.041666666664,13370.8125,23.333333333333332
2266,Saskatchewan,Assiniboia,2022,Rural,fixed,31078.137425595236,5039.039880952381,30.576785714285712
2271,Saskatchewan,Battleford,2022,Rural,mobile,40815.28571428572,8760.0,32.42857142857143
2273,Saskatchewan,Biggar,2022,Rural,mobile,41879.5,7751.5,35.0
2274,Saskatchewan,Birch Hills,2022,Rural,fixed,25014.40238095238,4061.9964285714286,29.75
2275,Saskatchewan,Birch Hills,2022,Rural,mobile,28063.875,5164.5,24.75
2276,Saskatchewan,Canora,2022,Rural,fixed,53613.583333333336,6548.333333333333,26.974999999999998
2277,Saskatchewan,Canora,2022,Rural,mobile,38663.0,4319.0,37.5
2279,Saskatchewan,Carnduff,2022,Rural,mobile,32216.5,16131.5,28.0
2280,Saskatchewan,Dalmeny,2022,Rural,fixed,104315.9628968254,8838.10496031746,28.403373015873015
2282,Saskatchewan,Esterhazy,2022,Rural,fixed,75976.52938988095,7652.916939484127,32.48809523809524
2283,Saskatchewan,Esterhazy,2022,Rural,mobile,24896.30555555556,5266.597222222222,51.125
2289,Saskatchewan,Fort Qu'Appelle,2022,Rural,mobile,79616.78571428571,6207.357142857143,42.88095238095239
2290,Saskatchewan,Hudson Bay,2022,Rural,fixed,64282.6875,6477.916666666667,37.541666666666664
2291,Saskatchewan,Hudson Bay,2022,Rural,mobile,17962.0,7381.0,31.0
2293,Saskatchewan,Humboldt,2022,Rural,mobile,49589.40579710145,7529.557971014492,41.14492753623188
2294,Saskatchewan,Indian Head,2022,Rural,fixed,106873.41101190477,8930.258035714285,26.638839285714283
2295,Saskatchewan,Indian Head,2022,Rural,mobile,12319.625,1302.6875,47.125
2296,Saskatchewan,Kamsack,2022,Rural,fixed,69920.875,8580.5,24.020833333333332
2297,Saskatchewan,Kamsack,2022,Rural,mobile,71980.0,7198.625,61.75
2298,Saskatchewan,Kimosom Pwatinahk 203 (Deschambault Lake),2022,Rural,fixed,2796.6666666666665,729.0,29.833333333333332
2308,Saskatchewan,Lumsden,2022,Rural,fixed,65056.59275793651,6696.639021164021,29.61392195767196
2310,Saskatchewan,Maple Creek,2022,Rural,fixed,70637.80535714286,7094.259226190476,24.53154761904762
